districtname,num_map_tank,num_tank,dist_dad,dist_func,dist_damaged,dist_nonfunc,dist_pop,dist_pop_func,dist_pop_damaged,dist_pop_nonfunc,dist_cas,dist_irrigatedagriculture,dist_fishing,dist_livestock,dist_daytodayuse,dist_smallscaleindustries,dist_environmentaluse,dist_ecotourism,dist_reno,pop,pop_func,pop_damaged
,74.255989,0,,,,,0,,,,,,,,,,,,,,,
Ampara,59.414989,229,80.349342,36.843307,8.3064775,63.156693,10138,39.94091,3.9572675,60.05909,.017162144,71.768272,14.433364,30.274023,1.8325356,.12204191,3.0510478,.047672622,3.525867,101.38,4049.2097,401.18777
Anuradhapura,74.941559,3186,83.678596,72.779221,1.1455584,27.220783,326171,78.847,.76929861,21.153002,17.716015,81.260094,8.4840727,17.79537,30.968912,.26174819,1.6159149,.010088077,5.6454716,126.66835,257176.03,2509.2292
Badulla,85.52916,319,85.266457,60.928059,2.7603896,39.071941,24892,68.865387,1.8181616,31.134611,.015723117,83.215576,.82644629,.51984555,.77043271,.015723117,.062892467,0,4.0251179,109.17544,17141.973,452.57681
Batticaloa,70.270271,364,78.02198,13.552107,10.155778,86.447891,36503,21.038267,9.7656879,78.961731,.16981645,54.613724,18.132622,48.310135,4.1329551,2.3668637,.027170632,.0007547398,2.2008212,206.23164,7679.5991,3564.7693
Hambantota,77.971016,667,91.904045,73.285919,1.0393604,26.714083,65450,79.16671,.67851788,20.83329,8.2861118,76.136742,4.5964274,17.371525,8.4596386,1.2643603,.92067909,.022477517,9.4461765,122.79549,51814.613,444.08997
Kandy,92.222221,63,93.650795,48.77803,3.0486269,51.22197,2503,66.353386,.87196952,33.64661,.025195263,93.751572,2.5195262,2.5195262,4.2579994,.10078105,.025195263,0,4.9382715,131.73685,1660.8254,21.825397
Kilinochchi,81.097565,590,82.033897,11.148808,18.974146,88.851189,21531,13.200233,16.844315,86.799767,.034760129,24.49411,14.158,81,20.021832,2.1743753,.60787129,.028727379,1.3677104,180.93277,2842.1423,3626.7493
Kurunegala,97.32431,5035,97.67627,67.152084,.38892007,32.847919,483027,67.955368,.2946541,32.044636,14.51103,89.675446,.60923684,8.7338734,21.562052,.54001331,.1909178,.0042956504,9.1331244,96.067421,328242.75,1423.2588
Mannar,53.061226,463,46.652267,8.7554636,29.623686,91.244537,42148,11.065574,13.705053,88.934425,.29155335,52.351318,15.451861,33.504845,14.946657,1.6793473,.57144457,.18659414,4.5720229,261.78882,4663.918,5776.4063
Matale,80.25,331,86.102722,73.617439,.091273353,26.382563,51209,79.798965,.092270412,20.201033,9.4960794,87.148712,4.22048,2.965471,6.2878213,.014603737,1.610062,.15425196,8.9457016,196.20306,40864.254,47.250755
Monaragala,48.685715,474,83.333336,72.285866,.57683063,27.714132,35966,78.120789,.40671325,21.879213,1.9387919,66.315941,2.7777777,2.3718598,.7481885,.011127135,.021809183,.0017803415,4.2746,102.17614,28096.922,146.27849
Mullaitivu,29.639519,395,43.037975,27.996155,10.337445,72.003845,9030,21.193853,14.427408,78.806145,.46723282,49.890083,3.1405225,16,1.6023073,.46723282,.010254767,.0057683061,5.3074827,102.61364,1913.8051,1302.7949
Polonnaruwa,49.475525,203,70.443352,89.456192,.11890607,10.543811,46995,93.522659,.038595449,6.4773393,1.769031,66.065659,21.900557,19.655901,27.265888,.78623599,.97066176,.087359563,12.579776,552.88232,43950.977,18.137932
Puttalam,81.07235,1258,84.578697,68.344788,.94049907,31.655212,177711,71.715012,.41392386,28.284988,10.059688,72.34462,4.2715492,35.071251,36.114559,2.8399484,7.6964345,.033426769,10.821024,141.82841,127445.47,735.58826
Trincomalee,45.314224,351,67.52137,46.364075,3.753216,53.635925,17236,58.017342,2.5436063,41.982658,9.64359,85.2071,7.0202351,7.4804587,5.3254437,.2629849,.11688217,.0032467267,7.0202351,118.05479,9999.8691,438.41595
Vavuniya,47.962383,590,58.135593,29.600977,9.2045393,70.399025,13873,41.684544,5.4519629,58.315456,.71818441,68.693192,26.899166,26.02729,9.2045393,.27607009,.010341856,.0071818447,6.9017525,71.510307,5782.8965,756.35083
